"","x"
"48","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"49","Meu chefe falou que sou parecido com bolsonaro (?????)"
"50","@olischues logo em seguida gritaram A TERRA É PLANA e vestiram a camisa bolsonaro 2018"
"51","RT @BlogdoNoblat: E o deputado Jair Bolsonaro, hein? Como vai indo?"
"52","RT @PastorMalafaia: Discordar de Bolsonaro é um direito.Ver o jornalismo da folha e do globo em relação a ele é uma vergonha, parcial,tende…"
"53","RT @PatoCorporation: Já pensou se Lula tivesse recebido R$ 2 mi em malas d $? 

Foram Aécio e Temer

Já pensou se Lula tivesse recebido R$…"
"54","@clovisilha @EdGaarcia @AnnaTavora3 @Adriano14004890 @nopontodofato @BecaBrix @macunaimaz @prmaduro @SPD_33… https://t.co/BskkcTUMAL"
"55","Jornalista brasileira compara a ascensão de Jair Bolsonaro à de Hitler"
"56","Gostei de um vídeo @YouTube https://t.co/43X26WOSYq PERDE O CONTROLE E CHAMA BOLSONARO DE... (DESAFIO VOCÊ ASSISTIR)"
"57","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"58","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"59","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"60","RT @patysrovari: Eleitor do Bolsonaro tem, na maioria, o mesmo perfil: ignorância, ausência de inteligência, analfabetismo político, homofo…"
"61","RT @FranRenno: Matheus Faria Carneiro, namorado de Rachel Sherazade, é registrador civil e tabelião titular do Ofício do 2º Distrito de Ang…"
"62","RT @pdrorsd: quem vota no bolsonaro tem lulofobia
vc n pode falar do bolsonaro q a pessoa ja vem ""a mas o lula"" sem nem vc ter tocado no no…"
"63","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"64","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"65","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"66","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"67","@marisascruz @BlogDoPim TENHO MINHAS DÚVIDAS SE JOICE HASSELMANN É PRÓ, COMO DIZES. JÁ FELIPE MOURA BRASIL É PRÓ MA… https://t.co/5DRGzsqhPe"
"68","@MidiaNINJA Bolsonaro jamais falaria assim com um homem. TODAS AS VEZES EM QUE ELE LEVANTOU A VOZ PARA ALGUÉM (com… https://t.co/FiXaDW0qoV"
"69","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"70","@folha #Folha #Bolsonaro2018 Sheherazade VS Bolsonaro https://t.co/JWwrYLGlHX via @YouTube"
"71","RT @pdrorsd: quem vota no bolsonaro tem lulofobia
vc n pode falar do bolsonaro q a pessoa ja vem ""a mas o lula"" sem nem vc ter tocado no no…"
"72","RT @PachecaoMG: Os metidos a famosinhos aqui do Twitter estão, um a um, deixando de apoiar Bolsonaro e começam a elogiar um tal ""Amoeba"", e…"
"73","Sério, não sou obrigado a ver uns tipos de comentários pró Bolsonaro numa segunda feira quente de janeiro... Aff"
"74","RT @jose_simao: Bolsonaro contrata exorcista para se livrar de funcionária fantasma! @revistapiaui https://t.co/Njarmf7DWi"
"75","E essa placa do bolsonaro? VRB não pode ver uma vergonha que já quer passar...."
"76","RT @elpais_brasil: Bolsonaro ainda nem assinou sua ficha de filiação ao PSL e já leva três problemas para a sua futura legenda https://t.co…"
"77","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"78","RT @FOlCEDESP: Os extremos cada vez mais próximos:
Assim como Lula, Jair Bolsonaro não corta a unha do dedinho https://t.co/LL9SYxzSuY"
