"","x"
"197","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"198","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"199","RT @Vinnnicosta: Apoiadores de Bolsonaro são intolerantes? Talvez sim... Não toleram pedofilia, uso de drogas, corrupção, libertinagem, ata…"
"200","RT @robertvarga2001: Bolsonaro é o otário que achou que podia comer na mesa deles. Puxou o saco de poderosos, tentou se travestir de libera…"
"201","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"202","@bbcbrasil Nem tente... Vai perder! Bolsonaro 2018!"
"203","@tuliomesmo Donald Trump: empresário bilionário,liberal,vive da iniciatica privada,e bancou sua campanha com o próp… https://t.co/lBTnrtQfQb"
"204","RT @conexaopolitica: ANÁLISE: Jair Bolsonaro está em 1° lugar nas pesquisas presidenciais para 2018 - analisem as manchetes diárias. A mídi…"
"205","RT @ajulysantos: Para a política brasileira eu quero mudanças, venho lutando por isso faz tempo, mas o fato de - apenas - não estar na Lava…"
"206","@jairbolsonaro Fiquei pensando esses dias se era possível um político comer o celebro de seus eleitores ...Depois d… https://t.co/hbtoY37gum"
"207","Por @depRodrigoMaia, DEM quer discurso de segurança ‘nem próximo de Bolsonaro nem da passividade do PT’… https://t.co/BfxJP8yjZb"
"208","https://t.co/5Z37pWDNCc"
"209","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"210","RT @Estadao: &gt;@veramagalhaes 'Mito de pés de barro - No primeiro percalço, Bolsonaro expôs ao País o material do qual é feito, mas idolatri…"
"211","@conexaopolitica Justo. Meu voto é em Bolsonaro. Mas, muitas vezes há muitas matérias tendenciosas, parciais e sens… https://t.co/CaJy52mvX7"
"212","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"213","RT @CarlosBolsonaro: É a primeira vez que vejo um ditador querer armar a população, seguir o que as leis determinam, prestar contas claras…"
"214","@jairbolsonaro Fiquei pensando esses dias se era possível um político comer o celebro de seus eleitores ...Depois d… https://t.co/uDPGHcZwlj"
"215","RT @claudiodemetri3: Acompanhem:

Nesta semana a Foice de São Paulo e demais veículos aliados, centraram fogo sobre Jair Bolsonaro.  A idei…"
"216","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"217","RT @rcp01: Bolsonaro contra todos https://t.co/AXqibX3gM2"
"218","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"219","RT @SraPatalogica: O Frota chamou a Sheherazade de “prostituta” por ela ter feito uma mínima crítica a Bolsonaro, daí a gente percebe o nív…"
"220","@michaeldiegob @igor_reboucas A tecla sap é uma sugestão, pois seus escritos são bem confusos, nos dois idiomas que… https://t.co/8cSXOItdri"
"221","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"222","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"223","RT @DeEgla3452: @SIL_AMARAL @jairbolsonaro @CarlosBolsonaro @FlavioBolsonaro @BolsonaroSP @Francischini_ @PPReacaRN @WELSCHLWS @benhuralbuq…"
"224","Depois de prometer o mundo ao PEN e abandona lo, JAIR BOLSONARO VIRA ESTOPIM DA CRISE ENTRE PSL E MOVIMENTO LIVRES… https://t.co/JNXFcPmucY"
"225","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"226","RT @EricAmaral10: Na sua opinião, Bolsonaro é de:"
"227","#CiteUmaDúvida Se o Bolsonaro ganhar e fizer tudo o que o povo espera que ele faça, viraremos a maior potência mundial em apenas 4 anos?"
"228","RT @BernardoMF: Deputado há 27 anos, Bolsonaro vende a ideia de que é diferente dos outros políticos. Isso explica seu descontrole quando a…"
"229","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"230","RT @Leonardobulho: Bolsonaro é pego dirigindo a carreta que foi assaltada do Caetano Veloso. https://t.co/NeepQza1zB"
"231","RT @tuliomesmo: Bolsonaro (Direita)
Alckmin     (Esquerda)
Marina       (Esquerda)
Ciro            (Esquerda) 
Lula            (Extrema-Esq…"
"232","RT @Jornalivre_BR: Ataques de fãs de Bolsonaro contra Rachel Sheherazade fazem dar inveja aos comunistas do PCdoB https://t.co/BhWTMBJb2Z"
"233","Entendem? Eu não defendo político nenhum, acho que todos tem que nos dar satisfação. mas essa raiva com Jair Bolson… https://t.co/TjFwpHEjrj"
"234","RT @elpais_brasil: Bolsonaro ainda nem assinou sua ficha de filiação ao PSL e já leva três problemas para a sua futura legenda https://t.co…"
"235","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"236","RT @W2Caetano: Como Jair Bolsonaro deve tratar a ''Grande Mídia''
#FolhaLixo
#GloboLixo
#JovemPanLixo
#EstadãoLixo
#UolLixo
#BandLixo... e…"
"237","Bolsonaro critica Henrique Meirelles e reforma da Previdência em entrevista ao RedeTV News https://t.co/ITPduY7xAH https://t.co/K37QZKNPV6"
"238","RT @CarlosBolsonaro: Aos amigos que insistem que entremos com processos: existem, mas os resultados são estes ou piores. Por fim, entendam…"
"239","RT @Castro2Monica: Já pararam pra pensar que o Bolsonaro, defensor da moral, da ética e dos bons costumes é acumulador de patrimônio milion…"
"240","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"241","RT @Mandinha_PB: @Estadao @veramagalhaes O CHORO É LIVRE, E A PREFERÊNCIA/VOTO DE CADA UM TAMBÉM! JÁ NÃO BASTA AS FRAUDES NAS URNAS E A IMP…"
"242","Pode? Tática nazista? Extermínio de pobre? https://t.co/ZNcBUwdgfC"
"243","RT @jairbolsonaro: - Bolsonaro em Eldorado Paulista. - Velhos amigos e boas recordações. - Jair e as jabuticabas... kkk https://t.co/mF91qr…"
"244","RT @Fabi_Aguiar_: Rachel ""Sherazade"" a jornalista c nome de Pokémon, tá achando que irá evoluir ficar atacando Bolsonaro,  mas quem na verd…"
"245","O cara não sobrevive a 1 semana de imprensa, quando ela quer ser séria. https://t.co/7quMt7Xff0 A semana em que as… https://t.co/jPVVjAKKBN"
"246","RT @FOlCEDESP: Homofobia
Bolsonaro faz piada homofobia no barbeiro:
""Corta na frente e pica atrás"" https://t.co/N40eO9na9p"
"247","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"248","Eu só arrumo defensor do Bolsonaro, aneim viu"
"249","RT @robertvarga2001: Bolsonaro é o otário que achou que podia comer na mesa deles. Puxou o saco de poderosos, tentou se travestir de libera…"
"250","RT @FOlCEDESP: Bolsonaro estaria dando dinheiro público para chineses https://t.co/sSl9m5VjfG"
"251","Aconselho os verdadeiros eleitores de Bolsonaro à bloquear a pobre Sherazzade, para que não fiquem tentados à respo… https://t.co/VgwTBqfj2B"
"252","Quem é bolsonaro?"
"253","A privacidade só para Raquel e namora, Bolsonaro é filho é que se danem! Povo cara de pau! https://t.co/dkwz60m4X0"
"254","RT @SaoBlack: @Estadao @veramagalhaes A opinião da Vera do Aecim não vale mais do que minha pinscher descome. Uma jornas que não sabia q já…"
"255","“Eu não posso simplesmente levar à miséria os aposentados no futuro, ou praticamente impedi-los de aposentar por um… https://t.co/iGaJVDs3za"
"256","RT @CarlosBolsonaro: Jornalistas reunidos atacam Bolsonaro. Alguma novidade? Enquanto isso o Brasil sendo saqueado de todas as formas, seja…"
"257","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"258","RT @GeorgMarques: Bolsonaro entrou no PLS pela porta da frente achando que agregaria, mas pelos fundos integrantes do partido começaram a d…"
"259","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"260","RT @PachecaoMG: Os metidos a famosinhos aqui do Twitter estão, um a um, deixando de apoiar Bolsonaro e começam a elogiar um tal ""Amoeba"", e…"
"261","RT @DCM_online: VÍDEO: “Usei o dinheiro do auxílio moradia pra comer gente, tá satisfeita?”, diz Bolsonaro à repórter da Folha https://t.co…"
"262","#BRASIL: Rodrigo Maia nega candidatura e diz não crer em vitória de Lula ou Bolsonaro https://t.co/UMo35IjJRP https://t.co/NgLcEOD0db"
"263","RT @HugoAg0g0: A dúvida é se Bolsonaro, de fato um fenômeno, consegue se sustentar, sem TV, base partidária e recursos. Terá que quebrar to…"
"264","Retweeted Eduardo Bolsonaro (@BolsonaroSP):

Antes de Deputado sigo sendo Policial Federal. Usando o recesso... https://t.co/5eA8kHkZgA"
"265","fico mais chocada ainda quando  uma mulher vem defender o bolsonaro depois de tudo que aconteceu e a luta que foi p… https://t.co/RoQgwwWwjb"
"266","RT @FlavioBolsonaro: Nós sabemos o que é ser acusado do que não é e nunca foi, ainda mais de algo tão abjeto como racismo... E se fosse o B…"
"267","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"268","RT @requiaopmdb: Promovido,usado e abusado pela midia a serviço da oligarquia entreguista,Bolsonaro agora é fritado,triturado,destruído,pel…"
"269","RT @apyus: Eu sinceramente acho que, ao menos do lado de cá, o pessoal anda mais indignado com a truculência da militância do que com Bolso…"
"270","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"271","RT @edmilsonpapo10: Até o momento tenho plena convicção do meu voto no Bolsonaro, já sabia que ele sofreria mtos ataques, faz parte do jogo…"
"272","RT @BlogdoNoblat: E o deputado Jair Bolsonaro, hein? Como vai indo?"
"273","RT @FOlCEDESP: Homofobia
Bolsonaro faz piada homofobia no barbeiro:
""Corta na frente e pica atrás"" https://t.co/N40eO9na9p"
"274","Isso é para os idiotas que insistem em desqualificar Bolsonaro. https://t.co/kdtrvdHTlM"
"275","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"276","RT @FOlCEDESP: Os extremos cada vez mais próximos:
Assim como Lula, Jair Bolsonaro não corta a unha do dedinho https://t.co/LL9SYxzSuY"
"277","Mateus Faria (Noivo de Sheherazade), Cris Guarini (Mulher diretamente ligada a Joice Hasselmann da rádio Jovem Pan)… https://t.co/33V0hzvvHo"
"278","RT @RAssuncao70: @pauloap @caioblinder Tá aí um Presidente que realmente governa o país a favor do seu povo.
Vejo a mesma disposição em Jai…"
"279","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"280","RT @RAssuncao70: @FOlCEDESP Kkkkkkkkkkkkkkk chuuuuuuuupa essa esquerda da desgraça. Bolsonaro presidente 2018 chupa essa manga."
"281","@tuliomesmo Bolsonaro de direita que há 30 anos vive do dinheiro público,assim como seus filhos. Ser de direita e m… https://t.co/8uyDog0GNS"
"282","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"283","RT @IvanValente: Bolsonaro se deteriorou na imprensa e entre seus seguidores.Depois de agredir e insultar uma jornalista dizendo q usava o…"
"284","RT @edmilsonpapo10: Até o momento tenho plena convicção do meu voto no Bolsonaro, já sabia que ele sofreria mtos ataques, faz parte do jogo…"
"285","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"286","RT @ConversaAfiada: Servidora fantasma de Bolsonaro teve mais atuação na Câmara que ele
- Sensacionalista https://t.co/bN9fBtZtFC"
"287","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"288","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"289","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"290","RT @mafiasummer: Agora já imaginou o Bolsonaro presidente e a classe artística fazendo protesto contra o fechamento do Minc? 

Ele vai dar…"
"291","Quem é bolsonaro? O que ele fez pro pais? Qual legado dele?"
"292","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"293","Câmara gasta mais com ‘voo’ eleitoral de Bolsonaro https://t.co/92sxJJPYRq"
"294","RT @perereco: Da próxima vez, a Folha tem que mandar uma criança de 9 anos pra entrevistar o Bolsonaro

- eu não uso auxílio moradia
- nhen…"
"295","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"296","@BlogDoPim Agora vai deixar de o comitê eleitoral do Bolsonaro, chega de jornalismo tendencioso"
"297","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"298","@VEJA Eleitor do Bolsonaro comemorando o roubo e torcendo pro ladrão? 
Hahahahahahaha

Cidadão de bem é o meu ovo e… https://t.co/Ji1yprjmZo"
"299","@skuIImann @BlogOlhoNaMira Pode ser  !!!

Eu vejo um organismo se virando contra um vírus. As declarações desconcer… https://t.co/yEQrEjoOOw"
"300","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"301","RT @visaomacro: Gastos com Passagens Aéreas dos Deputados em 2017

Entrei no site da Câmara e procurei a planilha com os gastos dos deputad…"
"302","RT @Castro2Monica: Já pararam pra pensar que o Bolsonaro, defensor da moral, da ética e dos bons costumes é acumulador de patrimônio milion…"
"303","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"304","RT @jose_simao: Bolsonaro disse q usou o auxílio-moradia para “comer gente”. Auxílio-motel!"
"305","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"306","@antonioveronese @FOlCEDESP @RicardoReis03 Procure saber a quanto anos Jair Bolsonaro tem seus patrimônios e os val… https://t.co/yNq1ykOJvX"
"307","RT @mafiasummer: Agora já imaginou o Bolsonaro presidente e a classe artística fazendo protesto contra o fechamento do Minc? 

Ele vai dar…"
"308","RT @visaomacro: Mais uma vez estão olhando uma árvore e esquecendo a floresta. Estão falando do gasto do Bolsonaro com passagem aérea mas e…"
"309","RT @jairbolsonaro: - Bolsonaro em Eldorado Paulista. - Velhos amigos e boas recordações. - Jair e as jabuticabas... kkk https://t.co/mF91qr…"
"310","RT @visaomacro: Já estou de saco cheio de ter que ficar checando denúncias contra o Bolsonaro.

Se a denúncia for mentira e você mostrar a…"
"311","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"312","Tava pensando aqui num roteiro de filme onde todo mundo pensa q um deputado nazista usa verba publica para “comer m… https://t.co/9KBJWoqdjI"
"313","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"314","RT @correiodobrasil: ‘Racista e mentiroso’, Bolsonaro vai na linha de Hitler, dizem jornalistas https://t.co/YKQyJgGHue https://t.co/IVGyLC…"
"315","RT @Castro2Monica: Já pararam pra pensar que o Bolsonaro, defensor da moral, da ética e dos bons costumes é acumulador de patrimônio milion…"
"316","RT @jairbolsonaro: - Bolsonaro em Eldorado Paulista. - Velhos amigos e boas recordações. - Jair e as jabuticabas... kkk https://t.co/mF91qr…"
"317","Gostei de um vídeo @YouTube https://t.co/ZRbel5TGCD COMPLETA DE JAIR BOLSONARO AO BORIS CASOY NA REDETV"
"318","RT @GuilhermeBoulos: Esse é o nível de Jair Bolsonaro. Deputado há 30 anos que quer se apresentar como novidade, não consegue responder a r…"
"319","RT @FranRenno: Matheus Faria Carneiro, namorado de Rachel Sherazade, é registrador civil e tabelião titular do Ofício do 2º Distrito de Ang…"
"320","RT @infomoney: Bolsonaro diz que não votará a favor da reforma da Previdência em fevereiro https://t.co/VhTWZ3qn4X #mercados_IM"
"321","RT @falandoverdes2: O nível do Bolsonaro é deprimente.... ""Usava auxílio-moradia para comer gente''
#13dejaneirodeluta https://t.co/FOXs0Cw…"
"322","RT @visaomacro: Gastos com Passagens Aéreas dos Deputados em 2017

Entrei no site da Câmara e procurei a planilha com os gastos dos deputad…"
"323","RT @BrothersDireita: Brasileiros e brasileiras..
Minha gente...

Ninguém tá esperando que bolsonaro seja perfeito..mas ele é o único que es…"
"324","Vocês mata em nome de Jesus bando de Bolsonaro"
"325","RT @mah4154: <ed><U+00A0><U+00BD><ed><U+00B2><U+00AD>

Um desembargador jovem, com rabo preso, pressionado diretamente pela elite e pela imprensa dia e noite, por psicopatas segu…"
"326","RT @infomoney: Bolsonaro diz que não votará a favor da reforma da Previdência em fevereiro https://t.co/VhTWZ3qn4X #mercados_IM"
"327","RT @patysrovari: Eleitor do Bolsonaro tem, na maioria, o mesmo perfil: ignorância, ausência de inteligência, analfabetismo político, homofo…"
"328","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"329","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"330","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"331","RT @MMucke: Todo mundo está cansado de saber que Bolsonararo não conseguirá vencer seu maior oponente as URNAS FRAUDÁVEIS SMARTMATIC COMUNI…"
"332","RT @rcp01: Não adianta! Quanto mais batem, mais Jair BOLSONARO se AGIGANTA!! https://t.co/0RJ3ZQsphm"
"333","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"334","RT @CarlosBolsonaro: Jornalistas reunidos atacam Bolsonaro. Alguma novidade? Enquanto isso o Brasil sendo saqueado de todas as formas, seja…"
"335","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"336","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"337","RT @BlogdoNoblat: E o deputado Jair Bolsonaro, hein? Como vai indo?"
"338","RT @conexaopolitica: URGENTE! Juízes federais que julgarão o ex-presidente Lula estão retirando seus familiares de Porto Alegre por causa a…"
"339","RT @jairbolsonaro: - Bolsonaro em Eldorado Paulista. - Velhos amigos e boas recordações. - Jair e as jabuticabas... kkk https://t.co/mF91qr…"
"340","@JornalOGlobo Eleitor do Bolsonaro comemorando o roubo e torcendo pro ladrão? 
Hahahahahahaha

Cidadão de bem é o m… https://t.co/3Tml2HeX1l"
"341","RT @30Lebh: @Rubens_BFR @JohnnyWiIco @CrisCavalcanthi @allexandrelluz @RevistaEpoca Vixi.. então é pior ainda.. não tem nem isso que se apr…"
"342","Gostei de um vídeo @YouTube https://t.co/jdXR7C1hsI DE SP: ""MARQUETEIRO RECEBE 5 MILHÕES DE JAIR BOLSONARO POR DIVULGAÇÃO"""
"343","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"344","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"345","RT @dorivaferreira: Com os jornais eliminando Aécio, Lula e Bolsonaro, preparem-se para o Alckmin em 2018. O inferno está próximo."
"346","sinceramente não consigo entender a mente de um ser que votará em bolsonaro"
"347","RT @tuliomesmo: Bolsonaro (Direita)
Alckmin     (Esquerda)
Marina       (Esquerda)
Ciro            (Esquerda) 
Lula            (Extrema-Esq…"
"348","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"349","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"350","RT @theseleng: eu tenho um medo do caralho do bolsonaro ganhar as eleições"
"351","RT @fazamor: TEM VÍDEO DO BOLSONARO COMEDOR DE GENTE https://t.co/irvMfAQ6GK"
"352","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"353","RT @rcp01: Bolsonaro contra todos https://t.co/AXqibX3gM2"
"354","<ed><U+00A0><U+00BD><ed><U+00B4><U+00B0>O Noblat fez uma enquete pro Bolsonaro. Chegou a hora de respondermos a dele. Ajudem com RT. Vamos dar à este jorn… https://t.co/Txg7vW4a9h"
"355","RT @kallilolv: Bolsonaro teve irmão funcionário fantasma na Alesp, mais de 15 milhões em imóveis de luxo no RJ, recebendo auxílio moradia c…"
"356","RT @PastorMalafaia: Discordar de Bolsonaro é um direito.Ver o jornalismo da folha e do globo em relação a ele é uma vergonha, parcial,tende…"
"357","RT @henriolliveira: Respeito quem não vota em Bolsonaro, LÓGICO.

Tenho amigos como @pdevechi e @ajulysantos que cito como exemplos.

Não s…"
"358","RT @Juliana_EneaSS: @CarlosBolsonaro @jairbolsonaro eu só sei que a merda que a impressa safada fala mal do Bolsonaro e família + forte ele…"
"359","RT @aguedescartoon: Bolsonaro: ""Maria do Rosário, você não merece ser estuprada""

Reinaldo Azevedo: ""Misógino! Cassação já!""

Waack: ""Isso…"
"360","Gostei de um vídeo @YouTube https://t.co/29BxsQYfWB FROTA DETONA Rachel Sheherazade APÓS ESSA ATAC@R BOLSONARO E SEUS"
"361","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"362","RT @ClaGentilli: Repito, as máscaras vão caindo uma a uma. Claro que Bolsonaro não é dono da razão como ninguém é, mas o que tentam fazer c…"
"363","Gente que fala que vai votar no Bolsonaro nem eh gente

é criança ainda"
"364","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"365","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"366","RT @FOlCEDESP: Bolsonaro estaria dando dinheiro público para chineses https://t.co/sSl9m5VjfG"
"367","RT @BolsonaroSP: MOTIVOS QUE ME FAZEM CURTIR BOLSONARO.
*Via @Bopressor20 https://t.co/QepaOEEKo5"
"368","RT @BlogdoNoblat: Meus parabéns aos eleitores de Bolsonaro. Vcs deram um impressionante exemplo de mobilização ao responderem à enquete do…"
"369","RT @FranRenno: Matheus Faria Carneiro, namorado de Rachel Sherazade, é registrador civil e tabelião titular do Ofício do 2º Distrito de Ang…"
"370","RT @ClaGentilli: Os ataques a Bolsonaro são contantes, indutivos, quando não mentirosos, logo há a reação natural. Querem agora a todo cust…"
"371","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"372","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"373","Bolsonaro diz que não votará a favor da reforma da Previdência em fevereiro https://t.co/VhTWZ3qn4X #mercados_IM"
"374","RT @maiconkusterkkk: faço piada com feminista: 

kkkkkkk boa maico isso ai humor nao tem limite

faço piada com bolsonaro:

oqqq vç está fa…"
"375","BOLSONARO VC É TÃO RIDÍCULO SEU EMBUSTE DE UMA FIGA MAL PASSADA"
"376","RT @kallilolv: Bolsonaro teve irmão funcionário fantasma na Alesp, mais de 15 milhões em imóveis de luxo no RJ, recebendo auxílio moradia c…"
"377","@MMsCalixto @Estadao Estadão se você quiser mesmo combater o Bolsonaro é só agendar uma entrevista com ele.
O cara só fala merda"
"378","RT @BrothersDireita: Brasileiros e brasileiras..
Minha gente...

Ninguém tá esperando que bolsonaro seja perfeito..mas ele é o único que es…"
"379","@taniguchicampos @folha São muitos desafios. E o primeiro é tentar queimar o filme do Bolsonaro. Semana passada tentaram e não conseguiram."
"380","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"381","RT @mvsmotta: ""Os fãs do Bolsonaro são um bando de xucros estúpidos que não lêem além da manchete"". 

Se são tudo isso mesmo então imagina…"
"382","Gostei de um vídeo @YouTube https://t.co/tNauCeufpu VS Bolsonaro"
"383","POR QUE NÃO CHAMAR PRIMEIRO AS FFAA E DEPOIS ELEGER UM BOLSONARO, COM O CAMPINHO LIMPO?

 Países Merdas.... https://t.co/SIl5RhczqH"
"384","Do Bolsonaro podemos esperar tudo mesmo, né?!
Até canibalismo!
<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"385","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"386","RT @EricAmaral10: Não acho q Rachel Sheherazade ao comparar Bolsonaro c/Lula o tenha igualado a um bandido. Ela comparou a semelhança na fo…"
"387","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"388","RT @leandroruschel: Juízes federais que julgarão o meliante Lula retiram familiares de POA após receber ameaças, mas a imprensa esquerdopat…"
"389","Novo presidente do PSOL diz que partido não se limitar a ser 'anti-Bolsonaro' https://t.co/9FkYjh05cO"
"390","Novo presidente do PSOL diz que partido não se limitar a ser 'anti-Bolsonaro' - Polêmica Paraíba https://t.co/n3KinzUUAM"
"391","RT @Bopressor20: Jair Bolsonaro presta seu apoio à Jornalista Raquel Sheherazade em 2014, não vi o Lula,Alckmin e outros sair em defesa del…"
"392","RT @aguedescartoon: Bolsonaro: ""Maria do Rosário, você não merece ser estuprada""

Reinaldo Azevedo: ""Misógino! Cassação já!""

Waack: ""Isso…"
"393","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"394","RT @GABRlELPlNHElRO: Estamos com vc, Bolsonaro https://t.co/2vDEEs49oV"
"395","RT @anacronices: Mulheres de direita só servem pra eles enquanto reproduzem o discurso opressor. Qualquer sinal de discordância voltam a se…"
"396","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
"397","RT @Castro2Monica: Já pararam pra pensar que o Bolsonaro, defensor da moral, da ética e dos bons costumes é acumulador de patrimônio milion…"
"398","RT @Esseteucu: Debate politico na tv 2018

- candidato quais são suas propostas a respeito da economia deste país? 
 
bolsonaro: https://t.…"
